Name,Type,PP,Att.,Acc.,Category,Status,Status_Chance,Status_Target,Max_Per_Turn,Min_Per_Turn,Max_Turns,Min_Turns,Target,Chance_Stat_Change,Current_Stat_Change,Stat_Change_Amount,Priority,Heal_Percent,Damage_Recovered,Effect
Safeguard,Normal,25,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,The user's party is protected from status conditions.
Sand-Attack,Normal,15,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0.3,Accuracy,-1,0,0,0,An attack in which sand is used to blind the target and reduce its attack accuracy.
Sandstorm,Rock,10,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Creates a sandstorm for 5 turns.
Scary Face,Normal,10,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Sharply lowers opponent's Speed.
Scratch,Normal,35,40,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A NORMAL-type attack. Sharp claws are used to inflict damage on the target.
Screech,Normal,40,-1,85,Status,null,0,enemy,1,1,1,1,enemy,1,Defense,-2,0,0,0,A move that makes a horrible noise. It sharply reduces the target's DEFENSE.
Seismic Toss,Fighting,20,-1,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A FIGHTING-type attack. Throws the target with enough force to flip the world upside down.
Self-Destruct,Normal,5,130,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,-1000,"The user explodes, inflicting damage on the enemy, then faints. Useless against GHOST-type."
Shadow Ball,Ghost,15,80,100,Special,null,0,enemy,1,1,1,1,enemy,0.2,Special Defense,-1,0,0,0,Deals damage and has a 20% chance of lowering the target's Special Defense by one stage.
Shadow Sneak,Ghost,30,40,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,1,0,0,The user extends its shadow and attacks the foe from behind. This move always goes first.
Sharpen,Normal,30,-1,100,Status,null,0,enemy,1,1,1,1,self,1,Attack,1,0,0,0,Raises the user's ATTACK power. The edges of the Pokémon are made harder for more impact.
Sing,Normal,15,-1,55,Status,Sleep,1,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A special NORMAL-type technique. A soothing melody lulls the target to sleep.
Sketch,Normal,1,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Permanently copies the opponent's last move.
Skull Bash,Normal,15,100,100,Physical,null,0,enemy,1,1,2,2,enemy,0,null,0,0,0,0,"In the first turn, the attacker tucks in its head. The next turn, it head-butts at full steam."
Sky Attack,Flying,5,140,90,Physical,null,0,enemy,1,1,2,2,enemy,0,null,0,0,0,0,"The strongest FLYING-type attack. Energy is stored in the first turn, then fired the next turn."
Slam,Normal,20,80,75,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A NORMAL-type attack move. The attacker uses an appendage (e.g. tail) to slam the target hard.
Slash,Normal,20,70,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A NORMAL-type attack. It has a high probability of a critical hit for inflicting double the damage.
Sleep Powder,Grass,15,-1,75,Status,Sleep,1,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Induces sleep. A Pokémon will stay asleep for several turns if an item isn't used to wake it.
Sleep Talk,Normal,10,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,User performs one of its own moves while sleeping.
Sludge,Poison,20,65,100,Special,Poison,0.5,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A POISON-type attack. Has a fifty-fifty chance of poisoning the target.
Sludge Bomb,Poison,10,90,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,May poison opponent.
Smog,Poison,20,20,70,Special,Poison,0.5,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Smog is spewed as a cloud. Has a fifty-fifty chance of poisoning the target.
Smokescreen,Normal,20,-1,100,Status,null,0,enemy,1,1,1,1,enemy,1,Accuracy,-1,0,0,0,Creates an obscuring cloud of smoke that reduces the enemy's accuracy.
Snore,Normal,15,50,100,Special,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Can only be used if asleep. May cause flinching.
Soft-Boiled,Normal,10,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0.5,0,Restores HP by 1/2 of the user's maximum HP. May also be used in the field.
Solar Beam,Grass,10,120,100,Special,null,0,enemy,1,1,2,2,enemy,0,null,0,0,0,0,"The strongest GRASS-type attack. Energy is absorbed in the first turn, then fired the next turn."
Sonic Boom,Normal,20,-1,90,Special,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A NORMAL-type attack. It inflicts a set amount of damage regardless of the target's type.
Spark,Electric,20,65,100,Special,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,May paralyze opponent.
Spider Web,Bug,10,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Opponent cannot escape/switch.
Spike Cannon,Normal,15,20,100,Physical,null,0,enemy,5,2,1,1,enemy,0,null,0,0,0,0,A physical attack consisting of two to five consecutive hits. Highly accurate.
Spikes,Ground,20,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Hurts opponents when they switch into battle.
Spite,Ghost,10,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,The opponent's last move loses 2-5 PP.
Splash,Water,40,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A move that involves only flopping and SPLASHing around in front of the opponent. It has no effect.
Spore,Grass,15,-1,100,Status,Sleep,1,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"Special spores are scattered from mushrooms. If the opponent inhales the spores, it will fall asleep."
Steel Wing,Steel,25,70,90,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,May raise user's Defense.
Stomp,Normal,20,65,100,Physical,Flinch,0.33,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A NORMAL-type attack. Has a one-in-three chance of making the target flinch if it connects.
Strength,Normal,15,80,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A very powerful NORMAL-type attack. Also used for moving obstacles like boulders.
String Shot,Bug,40,-1,95,Status,null,0,enemy,1,1,1,1,enemy,1,Speed,-1,0,0,0,Strings are sprayed out and wrapped around the target to reduce its SPEED.
Struggle,Normal,10,50,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0.5,Used only if the user runs totally out of PP. The user is hit with 1/4 of the damage it inflicts.
Stun Spore,Grass,30,-1,75,Status,Paralysis,1,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"A special move that causes paralysis. When paralyzed, the victim has a one-in-four chance of immobility."
Submission,Fighting,25,80,80,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,-0.25,The strongest FIGHTING attack. One quarter of the damage it inflicts comes back to hurt the attacker.
Substitute,Normal,10,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Uses 1/4 of the user's maximum HP to create a substitute that takes the opponent's attacks.
Sunny Day,Fire,5,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Makes it sunny for 5 turns.
Super Fang,Normal,10,-1,90,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"If it hits, this attack cuts the target's HP in half. Learned by Pokémon with developed fangs."
Supersonic,Normal,20,-1,55,Status,Confusion,1,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A special NORMAL-type technique. Supersonic sound waves are used to confuse the target.
Surf,Water,15,95,100,Special,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A WATER-type attack. The power of this technique is strong and highly accurate.
Swagger,Normal,15,-1,85,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"Opponent becomes confused, but its Attack is sharply raised."
Sweet Kiss,Normal,10,-1,75,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Confuses opponent.
Sweet Scent,Normal,20,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Lowers opponent's Evasiveness.
Swift,Normal,20,60,100,Special,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"A NORMAL-type attack. It is highly accurate, so it can be counted on to inflict damage."
Swords Dance,Normal,30,-1,100,Status,null,0,enemy,1,1,1,1,self,1,Attack,2,0,0,0,A special move that greatly boosts the user's ATTACK power. Can normally be used up to three times.
Synthesis,Grass,5,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,User recovers HP. Amount varies with the weather.
Tackle,Normal,35,35,95,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A NORMAL-type attack. Many Pokémon know this attack right from the start.
Tail Whip,Normal,30,-1,100,Status,null,0,enemy,1,1,1,1,enemy,1,Defense,-1,0,0,0,"A technique that lowers the target's DEFENSE. Useful against tough, armored Pokémon."
Take Down,Normal,20,90,85,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,-0.25,A charging attack. One quarter of the damage it inflicts comes back to hurt the attacker.
Teleport,Psychic,20,-1,100,Status,null,0,self,1,1,1,1,enemy,0,null,0,0,0,0,A special technique for instantly escaping from wild Pokémon. Useful in the wild only.
Test,Normal,15,0,100,Status,null,0,self,1,1,1,1,self,1,Attack,6,1,0,0,Test
Thief,Dark,25,60,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Also steals opponent's held item.
Thrash,Normal,20,90,100,Physical,Confusion,1,self,1,1,5,2,enemy,0,null,0,0,0,0,"An attack that lasts two to three turns. Afterwards, the attacker becomes confused."
Thunder,Electric,10,120,85,Special,Paralysis,0.1,enemy,1,1,1,1,enemy,0,null,0,0,0,0,The strongest of all ELECTRIC-type attacks. Has a one-in-ten chance of paralyzing the target.
Thunder Punch,Electric,15,75,100,Physical,Paralysis,0.1,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A special ELECTRIC-type attack. Has a one-in-ten chance of paralyzing the target.
Thunder Shock,Electric,30,40,100,Special,Paralysis,0.1,enemy,1,1,1,1,enemy,0,null,0,0,0,0,An ELECTRIC-type attack. Has a one-in-ten chance of paralyzing the target.
Thunder Wave,Electric,20,-1,100,Status,Paralysis,1,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"A special move that causes paralysis. When paralyzed, the victim has a one-in-four chance of immobility."
Thunderbolt,Electric,15,95,100,Special,Paralysis,0.1,enemy,1,1,1,1,enemy,0,null,0,0,0,0,An ELECTRIC-type attack. Has a one-in-ten chance of paralyzing the target.
Toxic,Poison,10,-1,85,Status,Poison,1,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A technique that badly poisons the target. The amount of damage from the poison increases every turn.
Transform,Normal,10,-1,100,Status,null,0,self,1,1,1,1,enemy,0,null,0,0,0,0,"Transforms the user into a copy of the target, including the type. All moves have only five PP each."
Tri Attack,Normal,10,80,100,Special,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A NORMAL-type attack. A triangular field of energy is created and launched at the target.
Triple Kick,Fighting,10,10,90,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Hits thrice in one turn at increasing power.
Twineedle,Bug,40,25,100,Physical,Poison,0.2,enemy,2,2,1,1,enemy,0,null,0,0,0,0,An attack that strikes twice. The target may occasionally become poisoned.
Twister,Dragon,20,40,100,Special,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,May cause flinching. Hits Pokémon using Fly/Bounce with double power.
Vice Grip,Normal,30,55,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A NORMAL-type attack used only by Pokémon with pincers. The target is gripped and injured.
Vine Whip,Grass,25,40,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A GRASS-type attack. The Pokémon uses its cruel whips to strike the opponent.
Vital Throw,Fighting,10,70,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"User attacks last, but ignores Accuracy and Evasiveness."
Water Gun,Water,25,50,100,Special,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A WATER-type attack. Stronger than BUBBLE. Many WATER-type Pokémon learn this move.
Waterfall,Water,15,80,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A WATER-type attack. The target is hit with a blow packing the power of fish traveling up waterfalls.
Whirlpool,Water,15,35,85,Special,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"Traps opponent, damaging them for 4-5 turns."
Whirlwind,Normal,20,-1,85,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Generates a powerful wind that blows away wild Pokémon. Useful in the wild only.
Wing Attack,Flying,35,35,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A FLYING-type attack. The attacking Pokémon spreads its wings and charges at the target.
Withdraw,Water,40,-1,100,Status,null,0,enemy,1,1,1,1,self,1,Defense,1,0,0,0,"Used mainly by Pokémon with shells. By withdrawing into the shell, DEFENSE is increased."
Wrap,Normal,20,15,85,Physical,null,0,enemy,1,1,5,2,enemy,0,null,0,0,0,0,Traps and squeezes the target over two to five turns. The target cannot move while under attack.
X-Scissor,Bug,15,80,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,The user slashes at the foe by crossing its scythes or claws as if they were a pair of scissors.
Zap Cannon,Electric,5,120,50,Special,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Paralyzes opponent.
